cantidad,edad,estado,hospital
1,16,27,6
2,37,32,12
1,18,25,8
179,22,10,15
40,24,10,6
1,17,21,14
10,2,10,6
1,23,29,10
2,9,6,9
1,20,14,11
1,21,14,3
1,1,11,9
2,26,6,11
5,10,14,8
1,19,5,11
63,28,32,10
2,1,29,11
2,17,28,8
37,1,32,3
1,10,2,8
1,3,27,13
64,22,10,1
4,5,10,14
1,31,27,11
1,4,12,13
8,16,10,17
79,9,10,11
1,20,2,8
24,9,10,14
1,7,13,4
2,9,24,8
2,10,21,8
26,31,32,14
1,36,5,13
5,1,29,8
1,28,6,13
91,10,10,6
3,30,10,4
1,1,15,14
69,12,10,5
1,23,3,13
94,26,32,8
1,25,23,8
1,24,14,8
1,11,10,13
314,18,32,8
27,24,10,3
277,23,10,10
16,4,10,5
1,32,23,14
1,25,27,13
1,14,20,9
1,12,7,13
153,19,10,11
2,12,14,10
34,13,32,1
47,7,32,1
9,21,15,13
1,19,21,13
1,21,11,8
1,26,13,11
49,14,32,9
4,12,12,13
1,26,10,2
6,13,29,11
1,41,10,11
8,17,10,4
1,6,28,10
5,10,6,13
375,32,10,13
7,22,10,4
1,31,15,14
3,31,10,2
2,33,32,9
1,22,18,8
1,2,21,8
15,23,32,14
2,13,5,11
4,25,6,8
5,28,14,11
1,7,9,8
1,6,5,11
438,32,32,8
7,5,10,11
1,35,10,12
1,30,13,8
1,32,20,8
7,7,21,8
18,18,32,14
1,17,1,13
42,36,32,8
382,21,32,13
11,7,6,13
1,45,10,11
4,12,24,13
1,22,21,3
25,19,10,5
265,32,32,11
19,5,10,8
9,35,10,15
48,16,10,6
2,30,6,8
1,17,18,8
1,24,14,11
3,21,13,13
1,23,12,10
1,23,31,13
1,41,32,9
1,28,7,8
4,17,20,13
4,1,21,10
1,9,24,11
1,2,21,11
1,35,21,8
2,41,10,14
1,25,8,13
18,2,10,9
1,17,8,13
2,9,12,11
1,3,16,8
21,35,32,10
36,24,10,15
3,14,23,13
1,21,24,9
39,36,10,13
1,7,16,8
1,14,12,11
25,10,10,12
25,31,10,5
4,22,27,13
3,4,6,11
12,28,32,1
132,30,10,13
1,30,22,13
38,22,10,7
37,34,10,9
1,23,24,13
127,21,10,15
4,7,13,13
1,28,29,9
1,12,24,10
1,25,21,3
225,7,32,10
1,22,32,2
110,16,10,9
1,17,7,9
228,21,32,10
1,6,28,13
14,9,10,3
72,17,10,1
4,6,5,8
1,31,7,13
1,10,24,9
2,22,11,8
1,7,18,13
1,18,23,9
55,13,32,9
1,6,9,13
1,7,32,7
10,6,21,13
13,20,32,1
1,2,10,12
4,24,10,12
1,18,32,17
1,14,16,13
3,23,10,2
1,10,28,11
36,16,32,1
1,29,10,4
212,30,10,10
49,36,10,10
156,4,10,13
32,1,32,9
4,21,6,13
1,2,29,9
2,30,15,13
37,14,32,1
3,23,8,8
30,32,32,14
6,5,32,9
12,22,15,13
1,23,12,13
4,37,10,5
1,20,15,9
11,34,32,1
1,1,12,8
3,1,14,13
2,14,19,8
1,17,27,10
1,14,29,3
8,13,21,13
2,12,20,11
156,25,10,10
357,7,32,13
5,32,6,11
4,6,24,8
1,12,10,16
2,21,16,11
1,14,7,8
21,4,32,14
3,28,23,13
4,6,12,8
9,23,15,8
2,36,6,11
1,21,28,11
16,6,10,17
2,1,24,8
1,12,1,8
19,13,32,12
3,28,21,8
124,10,10,15
406,31,10,8
2,26,15,8
1,16,4,13
7,18,15,8
63,24,10,9
1,16,24,3
199,13,10,14
4,7,14,11
3,24,21,8
1,26,3,8
1,13,9,13
2,18,27,11
66,28,10,9
1,31,3,8
1,35,15,1
15,30,10,7
1,19,15,11
1,33,32,3
6,12,10,2
1,4,1,8
10,1,32,12
4,36,10,7
13,13,10,17
2,16,21,8
1,16,11,13
6,37,32,3
1,20,23,13
1,33,6,9
1,7,24,9
1,17,4,14
1,22,15,10
4,18,27,8
1,22,11,11
1,39,10,6
183,7,10,15
41,12,32,14
1,28,32,4
2,9,10,17
17,6,32,12
6,22,23,11
2,13,14,13
7,25,10,7
15,1,10,17
1,18,5,13
12,34,10,6
25,31,32,3
15,3,10,1
1,13,31,8
3,17,15,10
5,24,32,4
247,10,32,13
1,13,1,9
8,12,27,11
4,10,21,11
8,16,32,4
1,36,6,8
5,1,24,11
1,6,19,8
59,3,32,13
2,1,1,9
1,21,28,14
7,17,23,11
1,7,9,11
2,28,14,8
1,17,4,8
22,19,32,3
143,1,10,14
2,16,14,11
9,7,21,11
1,21,16,8
162,18,32,11
196,30,32,8
1,20,7,8
31,28,10,6
3,6,24,11
2,40,12,13
32,35,32,13
3,32,29,13
1,18,20,11
1,7,6,10
275,19,10,8
12,2,32,10
1,21,4,8
3,1,21,13
1,22,14,9
1,34,32,4
45,37,10,8
1,32,9,6
2,12,20,8
1,14,26,8
4,1,5,8
9,26,10,5
77,14,10,3
1,23,23,9
1,31,6,3
1,32,17,13
2,32,13,11
2,30,6,11
1,3,23,8
13,34,10,3
566,13,10,11
33,33,10,8
2,23,15,11
1,30,18,11
1,12,1,11
1,9,32,15
1,21,9,11
1,13,5,8
1,31,15,11
90,4,32,11
1,37,6,6
1,5,32,3
50,24,32,10
1,24,6,13
2,22,7,9
2,1,5,11
5,12,27,8
1,25,15,13
1,26,12,13
1,32,13,8
2,9,12,8
18,33,10,11
80,14,10,6
179,4,32,8
168,10,32,10
19,12,15,8
1,1,17,11
8,13,24,8
1,25,3,13
1,1,28,13
1,30,14,9
1,19,6,6
1,16,14,8
1,10,13,13
3,13,12,8
1,16,7,11
2,17,11,8
1,37,15,11
1,7,28,11
24,7,10,12
34,28,10,3
8,21,23,8
3,18,24,13
40,16,10,3
1,18,1,11
1,6,20,9
25,20,10,3
5,17,27,13
1,18,13,11
4,17,23,8
59,35,10,13
1,21,1,11
1,14,5,10
4,32,15,11
1,34,21,11
3,6,29,13
1,10,23,11
5,11,10,8
7,6,27,8
4,1,23,13
2,32,6,3
1,34,9,11
1,29,10,2
3,32,27,11
47,21,32,14
8,36,32,9
2,13,4,8
2,3,15,8
1,32,8,8
1,20,10,4
5,30,14,11
1,34,2,8
1,10,11,11
1,21,24,10
67,24,32,13
37,18,10,5
1,1,15,9
14,25,32,14
29,7,32,6
18,24,10,1
1,22,30,10
1,22,29,6
3,34,10,12
1,16,25,13
8,13,6,13
11,17,6,8
1,14,12,13
37,31,10,1
144,23,32,13
1,23,13,13
70,25,32,11
13,17,6,11
1,12,12,11
26,34,10,15
4,7,29,11
1,25,13,8
6,12,23,13
1,14,4,9
19,35,32,11
1,28,13,8
210,16,32,13
86,22,10,6
1,12,4,10
15,36,10,14
38,19,10,6
1,24,12,9
51,17,10,7
1,14,5,13
8,5,10,9
3,34,21,8
12,33,10,14
3,21,20,11
4,7,21,10
1,37,21,8
1,6,17,13
1,32,20,11
1,21,21,1
12,20,10,7
5,32,27,8
40,9,10,9
819,7,10,8
15,32,15,8
9,6,6,11
1,3,15,11
39,34,32,10
1,12,32,15
77,7,32,9
4,21,24,13
1,1,8,9
2,20,15,13
1,33,10,17
82,4,10,14
27,30,32,1
66,23,10,15
4,18,22,8
2,16,21,14
1,22,23,10
41,18,32,3
3,20,23,11
507,6,10,13
33,26,10,14
59,1,10,6
1,32,4,9
26,14,32,14
1,7,7,13
449,18,10,8
1,17,13,8
1,25,6,11
2,20,11,11
1,10,11,8
3,31,10,4
73,36,10,8
1,28,32,2
1,31,26,9
4,2,10,15
1,30,29,9
2,37,32,4
1,2,23,8
23,23,10,1
15,40,10,8
2,4,21,13
2,10,23,8
4,29,10,5
37,22,32,1
49,36,10,11
2,32,22,8
1,9,21,8
1,10,18,8
1,36,2,13
1,6,5,10
1,35,24,13
1,21,19,10
1,28,15,13
1,10,32,2
1,18,11,9
2,13,13,13
1,7,14,10
1,1,12,14
1,10,30,8
6,21,10,2
1,3,8,11
27,9,10,6
1,26,29,8
165,13,32,10
2,18,29,8
1,18,15,14
1,18,22,11
73,26,10,11
2,21,12,13
1,14,23,9
522,17,32,8
132,25,32,8
1,25,13,11
1,15,32,9
2,20,11,8
18,16,10,12
84,30,10,9
1,4,24,8
1,23,7,3
1,10,29,4
1,12,29,3
1,19,32,7
3,4,12,8
1,3,10,2
127,13,10,15
9,19,10,12
8,37,32,1
7,4,10,17
4,21,5,13
1,7,6,6
171,28,10,10
15,3,32,14
55,6,32,14
1,23,27,10
1,30,23,13
2,10,27,13
22,21,15,8
2,16,21,11
5,22,23,13
8,7,24,8
2,14,20,11
1,1,32,15
49,1,10,3
2,6,20,11
4,26,32,6
3,4,32,15
421,17,10,13
7,6,13,8
5,17,29,13
1,22,4,13
1,24,23,11
366,6,32,11
2,10,20,13
1,22,16,13
1,14,27,11
4,14,10,2
1,40,10,5
1,5,10,15
8,21,27,8
1,19,21,8
112,26,10,8
13,29,10,8
8,26,32,3
6,30,21,8
6,4,32,12
8,37,10,6
62,32,10,5
1,4,24,11
1,19,32,4
1,30,32,4
2,13,20,13
2,6,24,10
14,2,32,13
2,7,26,13
1,22,15,9
2,7,14,13
114,16,10,15
18,28,10,7
301,13,32,13
42,10,10,1
15,26,32,9
1,31,23,8
6,32,10,2
1,3,23,9
1,12,6,1
14,17,15,13
5,40,32,3
1,25,1,5
5,31,15,10
1,10,15,10
1,28,6,11
1,7,17,8
1,37,14,11
50,30,10,6
2,39,10,8
4,10,10,4
